english,chinese,category
annoy,v. 惹恼；烦扰,雅思
transmit,v. 传播；播送；传递,四级
religion,n. 宗教；宗教信仰,四级
debt,n. 欠债,四级
tense,a. 紧张的; v. 拉紧; n. 时态,四级
victim,n. 牺牲品；受害者,四级
advertisement,n. 广告,四级
attach,vt. 系；贴；使附属,四级
issue,n. 问题；争论点；发行；（报刊）一期,四级
consume,v. 消耗；耗尽,四级
reservation,n. 贮存；贮藏,六级
portion,n. 一部分,四级
founder,n.建立者 vt.使沉没； 失败,雅思
revenge,v. 报仇；报复,六级
monitor,v. 检测；监测,六级
expansive,adj.易扩大的；豪爽的,雅思
collaborate,v. 合著；合作,六级
focus,v. （使）聚集 n. 焦点；中心；聚焦,四级
torture,n./vt. 拷打；折磨,四级
prohibit,vt. 禁止；不准,四级
disturb,vt. 打搅；妨碍,四级
resort,v. 求助；凭借；诉诸,六级
indicator,n.指示器,雅思
deliberately,ad. 深思熟虑地；审慎地,六级
media,n. 新闻传媒,四级
abundant,adj. 丰富的；大量的,雅思
transition,n. 过渡；转变,六级
individual,a. 个别的；单独的 n. 个人；个体,四级
humor,n. 情绪；心境,六级
discipline,n. 纪律；惩罚；学科,四级
chronic,α.慢性的,六级
illusion,n. 错觉；假象,六级
mobile,α. 活动的；流动的,六级
applaud,v. 赞扬；称赞,六级
linger,v. 逗留；徘徊；留恋；迟缓；拖延,六级
the Antarctic Ocean,南冰洋,四级
larvae,n. larva的复数,雅思
tide,n. 潮汐；潮流,四级
universe,n. 宇宙,四级
counter,v. 反击；反对,雅思
authorize,v. 授权；批准,雅思
condense,v. 压缩；浓缩,六级
issue,n. 问题；争论点；发行；（报刊）一期,四级
simplify,v. 简化,雅思
highlight,vt. 强调；突出,四级
gradual,adj. 逐渐的；渐进的,雅思
deliberately,ad. 深思熟虑地；审慎地,六级
expire,v. 到期；期满,六级
resign,v. 辞职,六级
spur,n./vt. 刺激；激励,四级
expire,v. 到期；期满,六级
supervise,v. 监督；管理,雅思
decent,α. 体面的；像样的；还不错的,六级
descend,v. 下来；下去,六级
oblige,v. 迫使；责成；使感激,四级
suffering,n.苦楚； 受难 adj.受苦的； 患病的,雅思
advanced,adj.先进的,雅思
illusion,n. 错觉,四级
triumphantly,ad. (欣喜)胜利地；成功地,六级
consistent,α. 和……一致,六级
blast,n. 爆炸；气流 vi. 炸；炸掉,四级
information,n.通知； 信息,雅思
neglect,v. 忽视；疏忽,雅思
triumph,n. 胜利；成功,四级
temporary,a. 暂时的；临时的,四级
prescribe,v. 处方；开药,六级
notion,n. 概念；观念；理解,六级
neglect,v. 忽视；疏忽,雅思
decline,v. 下降；减少,六级
wax,n. 蜡,四级
via,prep. 经由；经过；通过,四级
exaggerate,v. 夸大；夸张,四级
release,vt./n. 释放；排放；解释解脱,四级
resume,v. 重新开始；继续,六级
interpret,v. 解释；说明,六级
ordinary,adj.普通的,雅思
initial,adj.最初的； 词首的 n.词首大写字母,雅思
the Atlantic Ocean,大西洋,四级
semester,n. 学期；半年,四级
target,n. 目标；靶子; vt. 瞄准,四级
accommodate,v. 容纳；适应,雅思
blast,n. 爆炸；气流 vi. 炸；炸掉,四级
maintain,vt. 维持；保持；坚持；主张,四级
average,α.一般的；普通的,六级
target,n. 目标；靶子; vt. 瞄准,四级
insurance,n. 保险；保险费,四级
persistent,α. 坚持不懈的,六级
deliberately,ad. 故意；有意地,六级
catalog,n. 目录（册） v. 编目,四级
decline,v. 下降；减少,六级
transport,vt. 运输；运送 n. 运输；运输工具,四级
authentic,α.可靠的；可信的,六级
indigenous,adj.本土的,雅思
radiation,n. 放射物；辐射,四级
luxury,n. 奢侈；豪华,六级
data,n. 数据；资料,四级
oppress,v. 压迫,六级
rival,n. 竞争对手,六级
sorrow,n. 悲哀；悲痛,四级
integrity,n. 正直；诚实,六级
blur,v. 使模糊不清,雅思
environment,n. 环境,四级
comparative,a. 比较的；相对的,四级
revise,v. 修订；修改,雅思
trace,vt. 追踪；找到 n. 痕迹；踪迹,四级
trivial,α. 琐碎的；不重要的,六级
pattern,n. 模式,六级
expenditure,n. 支出；消费；经费,四级
optimize,v. 优化；改进,雅思
consume,v. 消耗；耗尽,四级
priority,n. 优先；重点,四级
humor,n. 情绪；心境,六级
identical,α. 相同的；一样的,六级
defy,v. 违抗；藐视,六级
exclusive,α. 独有的；排他的,六级
illusion,n. 错觉,四级
found,v.建立,雅思
optional,a. 可以任选的；非强制的,四级
confident,adj. 自信的；确信的,雅思
magnify,v. 放大,六级
unexpectedly,ad. 意外地,六级
expansion,n. 扩大；扩充；发展；膨胀,四级
explosion,n. 爆炸；爆发；激增,四级
global,adj. 全球的；广泛的,雅思
universal,a. 普遍的；通用的；宇宙的,四级
evoke,v. 引起；唤起,六级
superficial,α. 肤浅的,六级
greasy,α. 油腻的,六级
provided,conj.倘若,雅思
provisional,adj.临时的；雅思,
consultant,n. 顾问,六级
voluntary,a. 自愿的,四级
blur,v. 使模糊不清,雅思
melt,v.(使)融化； (使)熔化； 使感动,雅思
humor,n. 情绪；心境,六级
routine,n. 常规；惯例；例行公事,六级
wagon,n. 四轮马车；铁路货车,四级
derive,v. 得到；源自,雅思
capable,adj. 有能力的；能干的,雅思
religion,n. 宗教；宗教信仰,四级
conserve,v. 保护；保存,六级
commentary,α. 实况报道,六级
feasible,α. 可行的,六级
void,α. 无效的,六级
petrol,n. 汽油,四级
preside,v. 主持,六级
intricate,α. 复杂精细的,六级
advantage,n.优势； 利益,雅思
disturb,vt. 打搅；妨碍,四级
universal,a. 普遍的；通用的；宇宙的,四级
encouragement,n. 鼓励,六级
drain,v. 渐渐耗尽,六级
appreciate,vt. 重视；赏识；欣赏,四级
vanish,vi. 消灭；不见,四级
derive,v. 得来；得到,六级
coil,n. 线圈 v. 卷；盘绕,四级
tend,vi.易于；趋向,四级
participate,v. 参与；参加,雅思
deny,v. 否认,六级
sorrow,n. 悲哀；悲痛,四级
notorious,α. 臭名昭著的；声名狼藉的,六级
orient,vt. 使适应；(to toward)使朝向 n. 东方,四级
subordinate,α. 次要的；从属的,六级
restraint,n. 抑制；限制,四级
strategy,n. 战略；策略,四级
tuition,n.学费,雅思
deter,v. 威慑；阻止,雅思
provide,v.提供,雅思
tempt,v. 引诱；劝诱,六级
deny,v. 否认,六级
trivial,α. 琐碎的；不重要的,六级
annoy,v. 惹恼；烦扰,雅思
ignite,v. 引燃,六级
undergo,v. 经历；遭受,四级
dazzle,v. 使眩目；耀眼,六级
capable,adj. 有能力的；能干的,雅思
afford,v. 付得起,六级
ultimate,a. 极端的；最大的；最终的 n. 极端,四级
gradual,adj. 逐渐的；渐进的,雅思
competition,n. 竞争；比赛,四级
oxygen,n.氧,雅思
beforehand,ad. 预先；事先,四级
abandon,v. 放弃；遗弃,雅思
victim,n. 牺牲品；受害者,四级
relevant,α. 与……有关的,六级
stationary,α. 固定的,六级
oppress,v. 压迫,六级
commit,vt. 犯（错误；罪行等）；干（坏事等）,四级
massive,α. 大规模的；大量的,六级
inferior,α. 地位较低的；较差的,六级
furnish,v. 配备；装饰,六级
transmit,v. 传播；播送；传递,四级
semiconductor,n. 半导体,四级
scan,vt. 细看；扫描；浏览,四级
bunch,n. 群；伙；束；串,四级
commit,vt. 犯（错误；罪行等）；干（坏事等）,四级
insurance,n. 保险；保险费,四级
consume,v. 消耗；耗尽,四级
dominate,v. 统治；支配,雅思
obstacle,n. 障碍（物）；妨碍,四级
vain,a. 徒劳的；无效的,四级
distinction,n. 区分；辨别,六级
ornament,n. 装饰；装饰品,六级
worth,α. 值得,六级
guilt,n. 犯罪,六级
extinct,a. 绝灭的；熄灭的,四级
involve,v. 涉及；包含,雅思
explore,v. 探险；探索,六级
substitute,v. 代替；替换,雅思
remarkable,a. 值得注意的；异常的；非凡的,四级
spray,v. 喷；（使）溅散,四级
conceive,v. 想出；设想,六级
condense,v. 压缩；浓缩,六级
bacteria,n. 细菌,四级
range,n. 幅度；范围 v. （在某范围内）变动,四级
optional,a. 可以任选的；非强制的,四级
dealing,n.行为； 交易,雅思
consideration,n. 考虑,六级
facilitate,v. 促进；使容易,雅思
fuse,n. 保险丝,六级
mood,n. 心情；情绪；语气,四级
episode,n. 插曲；片段,四级
tedious,α. 冗长的；乏味的,六级
larva,n.幼虫,雅思
invest,v. 投资；投入,雅思
budget,n. 预算,六级
neglect,v. 忽视,六级
indicate,vt. 指示； 象征,雅思
splendid,a. 极好的；壮丽的；辉煌的,四级
priority,n. 优先(权),六级
intrinsic,α. 固有的；本质的；内在的,六级
overwhelm,v. 压倒；浸没；使不安,六级
interfere,v. 妨碍；干涉,雅思
spread,n.展开； 传播； 分布 v.展开； 传播,雅思
indignant,α. 生气的；愤怒的,六级
mixture,n. 混合；混合物,四级
suspicious,a. 怀疑的；可疑的,四级
descend,v. 下来；下去,六级
flap,v. (鸟)振翅(飞行),六级
stimulate,vt. 刺激；激励,四级
delicate,α. 精细的；微妙的；精心处理的,六级
candidate,n. 候选人,四级
negligible,α. 可忽略的；微不足道的,六级
provision,n.供应； (一批)供应品； 预备； 规定,雅思
participate,v. 参与；参加,雅思
universe,n. 宇宙,四级
arbitrary,a. 随意的；未断的,四级
nucleus,n. 核,四级
vacuum,n. 真空；真空吸尘器,四级
tense,a. 紧张的; v. 拉紧; n. 时态,四级
focus,v. 集中；聚焦,雅思
deprive,v. 剥夺,六级
promise,v. 许诺,六级
deserve,v. 值得,六级
vocabulary,n. 词汇（量）；词汇表,四级
coarse,a. 粗的；粗糙的；粗劣的,四级
elegant,α. 优雅的；优美的；精致的,六级
propel,v. 推进；推动,六级
analogy,n. 相似；模拟；类比,六级
appoint,vt. 任命；委派,四级
remain,v. 停留；依旧是,六级
opponent,n. 敌人；对手,六级
expand,vt.详述； 扩大；展开,雅思
odd,a. 奇特的；古怪的；奇数的,四级
individual,a. 个别的；单独的 n. 个人；个体,四级
resume,v. 重新开始；继续,六级
universal,a. 普遍的；通用的；宇宙的,四级
extent,n. 程度；范围；大小；限度,四级
barren,α.贫瘠的；不毛的,六级
twist,vt. 使缠绕；转动；扭歪,四级
fraction,n. 小部分；一点,六级
simplify,vt. 简化,四级
petroleum,n. 石油,四级
undergo,v. 经历；遭受,四级
herd,n. 兽群；牧群,四级
deserve,v. 值得,六级
defy,v. 违抗；藐视,六级
duplicate,v. 复制；重复,六级
personnel,n. [总称]人员；员工；人事部门,四级
expand,v. 扩大；扩张；展开；膨胀,四级
sheer,α. 完全的；十足的,六级
array,n. 陈列；一系列,六级
ornament,n. 装饰；装饰品,六级
complement,v. 与……结合；补充,六级
shift,n.改变；轮班 vt.改变； 变速,雅思
ration,n. 比率,六级
variation,n. 变化；变动,六级
emotional,a. 感情的；情绪（上）的,四级
consolidate,v. 巩固,六级
advantage,n.优势； 利益,雅思
profound,α. 深刻的；深远的,六级
anticipate,v. 预期,六级
wander,vi. 漫游；闲逛,四级
resistant,a. (to)抵抗的；抗...的；耐...的,四级
infer,v. 推论；推断,四级
suffer,vt.遭受； 忍受 vi.受痛苦； 受损害,雅思
opponent,n. 敌手；对手,四级
nucleus,n. 核,四级
modify,v. 修改；更改,雅思
undergraduate,n. 大学肄业生,四级
occupy,v. 占领；使忙碌,六级
biology,n. 生物学,四级
decade,n. 十年,四级
prevalent,α. 普遍的；流行的,六级
accommodate,v. 容纳；适应,雅思
identical,α. 相同的；一样的,六级
amplify,v. 放大；增强,雅思
suspicious,a. 怀疑的；可疑的,四级
formulate,v. 制定；构想,雅思
persistent,α. 坚持不懈的,六级
deliberately,ad. 深思熟虑地；审慎地,六级
adjust,v. 调整；调节,四级
resort,v. 求助；凭借；诉诸,六级
manifestation,n. 表现(形式),六级
impose,vt. 把...加强(on)；采用；利用,四级
lease,n. 租约；契约,六级
hinder,v. 阻碍；妨碍,雅思
removal,n. 除去；消除,四级
parade,v. 游行,六级
electron,n.电子,雅思
distinguish,v. 区分；辨别,雅思
deprive,v. 剥夺；夺去,雅思
subtle,α. 微妙的；精巧的；细微的,六级
version,n. 版本；译本；说法,四级
precaution,n. 预防；防备；警惕,四级
triumphantly,ad. (欣喜)胜利地；成功地,六级
competition,n. 竞争；比赛,四级
gear,v. 使适应；使适合,六级
the Antarctic Ocean,南冰洋,四级
electricity,n.电； 电学,雅思
adjust,v. 调整；调节,四级
virus,n. 病毒,四级
idle,a. 懒散的；无所事事的,四级
provisional,adj.临时的；雅思,
identify,v. 认出；确认,六级
ancient,adj.远古的；旧的,雅思
abundant,adj. 丰富的；大量的,雅思
dispose,vi. 除掉；处置；解决；处理(of),四级
enhance,v. 提高,六级
formerly,ad. 原先地；以前；从前,六级
flap,v. (鸟)振翅(飞行),六级
emergency,n. 紧急情况,六级
fragile,adj.易碎的； 脆的,雅思
melt,v.(使)融化； (使)熔化； 使感动,雅思
code,n. 准则；法规；密码,四级
larvae,n. larva的复数,雅思
insight,n. 理解；洞察力,六级
suffer,vt.遭受； 忍受 vi.受痛苦； 受损害,雅思
overwhelm,v. 压倒；浸没；使不安,六级
acquaint,v. 熟悉；认识,六级
sheer,α. 完全的；十足的,六级
morality,n. 道德；美德,六级
extreme,a. 极度的；极端的 n. 极端；过分,四级
convey,v. 表达；传达,六级
insurance,n. 保险；保险费,四级
sexual,a. 性的,四级
invest,v. 投资；投入,雅思
retail,n./v./ad. 零售,四级
indifference,n. 不关心；冷漠,六级
permeate,v. 渗入；渗透,六级
collaborate,v. 合作；协作,雅思
boast,v. 自夸；吹嘘,雅思
shortage,n. 短缺；不足,六级
grand,a. 宏伟大；壮丽的；重大的,四级
enroll,v. 使成为……的成员；注册,六级
intentionally,ad. 有意地；故意地,六级
rescue,v. 营救；救援,六级
extreme,a. 极度的；极端的 n. 极端；过分,四级
appreciation,n. 感谢；感激,六级
unify,v. 统一；使成为一体,雅思
massive,α. 大规模的；大量的,六级
startlingly,ad. 惊人地,六级
impose,v. 把……强加于,六级
compact,α.紧凑的；小巧的,六级
vote,v. 选举; n. 选票,四级
catalog,n. 目录（册） v. 编目,四级
enroll,v. 使成为……的成员；注册,六级
valid,a. 有效的；有根据的；正当的,四级
eternal,α. 永恒的；无休止的,六级
repel,v. 抗御；抵拒,六级
measurable,adj. 可测量的,雅思
arithmetic,n. 算术,四级
twist,vt. 使缠绕；转动；扭歪,四级
decorate,vt. 装饰；装璜,四级
conform,v. 遵守；符合,雅思
pathetic,α. 悲哀的；悲惨的,六级
protest,v. 抗议；反对,六级
tiny,adj.很少的； 微小的,雅思
mainland,n. 大陆,四级
respectable,α. 可尊敬的,六级
decorate,vt. 装饰；装璜,四级
purchase,v. 购买,雅思
descend,v. 下来；下去,六级
orchestra,n. 管弦乐队,四级
hierarchy,n.层次；层级,雅思
expel,v. 驱逐；开除；赶出,四级
evaluate,v. 评估；评价,雅思
geometry,n. 几何（学）,四级
fundamental,adj. 基本的；根本的,雅思
assemble,v. 集合；聚集,六级
nuclear,a. 核子的；核能的,四级
regulate,v. 调节；规范,雅思
substitute,v. 代替；替换,雅思
flap,v. (鸟)振翅(飞行),六级
budget,n. 预算,六级
deviate,v. (使)背离；(使)偏离,六级
formulate,v. 制定；构想,雅思
refute,v. 证明……不对(是错误的)；驳诉,六级
stale,a. 不新鲜的；陈腐的,四级
shrewd,α. 精明的,六级
prescription,n. 处方,六级
originate,v. 首创；起源,六级
priority,n. 优先；重点,四级
yawn,vi. 打哈欠,四级
agent,n. 代理人；代理商；动因；原因,四级
distinction,n. 区分；辨别,六级
suspicious,a. 怀疑的；可疑的,四级
commentary,α. 实况报道,六级
brake,n. 刹车；制动器 v. 刹住（车）,四级
jeopardize,v. 危及；损坏,六级
extraordinary,a. 不平常的；特别的；非凡的,四级
temporary,a. 暂时的；临时的,四级
substance,n. 物质；实质,四级
monitor,v. 监控；监测,雅思
scandal,n. 丑事；丑闻,四级
energetic,α. 精力充沛的,六级
reject,vt. 拒绝,四级
utilize,v. 利用；使用,雅思
professional,a. 职业的；专门的,四级
dump,vt. 倾卸；倾倒,四级
nonsense,n. 胡说；冒失的行动,四级
evil,a. 邪恶的；坏的,四级
shift,v. 转移；转动；转变,四级
expenditure,n. 支出；消费；经费,四级
convince,v. 说服；使信服,雅思
resolve,vt. 解决；决定；决意,四级
enhance,v. 提高；增加,六级
invade,v. 侵入；侵略；侵袭,四级
sensitive,α. 敏感的,六级
isolate,vt. 使隔离；使孤立,四级
inspection,n. 检查；视察,六级
stimulate,vt. 刺激；激励,四级
retain,vt. 保留；保持,四级
sexual,a. 性的,四级
luxury,n. 奢侈；豪华,六级
ultimate,a. 极端的；最大的；最终的 n. 极端,四级
collector,n.收藏家； 征收者,雅思
advantage,n.优势； 利益,雅思
involve,v. 涉及；包含,雅思
export,n. 出口（物） v. 出口；输出,四级
professional,a. 职业的；专门的,四级
resort,v. 求助；凭借；诉诸,六级
impose,vt. 把...加强(on)；采用；利用,四级
overwhelm,v. 压倒；浸没；使不安,六级
the Atlantic Ocean,大西洋,四级
emotion,n. 情感；感情,四级
biology,n. 生物学,四级
larva,n.幼虫,雅思
large/small-scale,大/小规模,雅思
abandon,v. 放弃；遗弃,雅思
clarify,v. 澄清；阐明,雅思
notorious,α. 臭名昭著的；声名狼藉的,六级
accumulate,v. 积累；积聚,雅思
emergency,n. 紧急情况,六级
measurable,adj. 可测量的,雅思
grant,vt. 授予；同意；准予,四级
vary,v. 变化；不同,雅思
average,α.一般的；普通的,六级
deliberately,ad. 深思熟虑地；审慎地,六级
gear,v. 使适应；使适合,六级
critique,v. 批评；评论,雅思
triumphantly,ad. (欣喜)胜利地；成功地,六级
dispose,vi. 除掉；处置；解决；处理(of),四级
monitor,v. 监控；监测,雅思
authority,n. 权威；当局,四级
wander,vi. 漫游；闲逛,四级
deal,n.交易 vi.处理； 做生意 vt.分配； 分给(out),雅思
gloomy,α. 暗淡的,六级
information,n.通知； 信息,雅思
cancel,vt. 取消；废除,四级
strategy,n. 战略；策略,四级
code,n. 准则；法规；密码,四级
enhance,v. 提高,六级
persistent,α. 坚持不懈的,六级
formerly,ad. 原先地；以前；从前,六级
provision,n.供应； (一批)供应品； 预备； 规定,雅思
prescription,n. 处方,六级
premise,n. 前提；假设,六级
stale,a. 不新鲜的；陈腐的,四级
stable,a. 稳定的,四级
overlap,v. 部分重叠,六级
versatile,α. 多才多艺的,六级
electricity,n.电； 电学,雅思
wax,n. 蜡,四级
personnel,n. [总称]人员；员工；人事部门,四级
oppose,v. 反对；抵制,雅思
feed,n.饲料； (动物或婴儿的)一餐 vt.喂养； 靠...为生,雅思
minority,n. 少数,六级
illusion,n. 错觉；假象,六级
overwhelm,v. 压倒；浸没；使不安,六级
register,v./n. 登记；注册,四级
faculty,n. 能力；技能；系；学科；学院；全体教员,四级
undergo,v. 经历；遭受,四级
architect,n. 建筑师,四级
awkward,a. 笨拙的；棘手的,四级
range,n. 幅度；范围 v. （在某范围内）变动,四级
emergency,n. 紧急情况,六级
expansion,n.扩大； 开展,雅思
reinforce,vt. 增强；加强,四级
outstanding,a. 杰出的；突出的；显著的,四级
advantage,n.优势； 利益,雅思
ultimate,a. 极端的；最大的；最终的 n. 极端,四级
repetition,n. 重复；反复,四级
venture,n. 风险投资；风险项目; v. 冒险；取于,四级
route,n. 路；路线；航线,四级
automatic,a. 自动的,四级
competitive,α.竞争性的；具有竞争力的,六级
global,adj. 全球的；广泛的,雅思
sexual,a. 性的,四级
spontaneously,ad. 自发地；自然产生地,六级
virtual,a. 实际上的；事实上的,四级
defy,v. 违抗；藐视,六级
thrust,v. 挤；推；插,四级
condense,v. 压缩；浓缩,六级
legislation,n. 立法；法律,六级
bargain,n. 便宜货 vi. 讨价还价,四级
promise,v. 许诺,六级
expansion,n. 扩大；扩充；发展；膨胀,四级
involve,v. 涉及；包含,雅思
intentionally,ad. 有意地；故意地,六级
reputation,n. 名声；声望,六级
architect,n. 建筑师,四级
gradual,adj. 逐渐的；渐进的,雅思
penalty,n. 制裁；惩罚,六级
obstacle,n. 障碍（物）；妨碍,四级
infer,v. 推论；推断,四级
morality,n. 道德；美德,六级
portable,a. 手提式的,四级
expire,v. 到期；期满,六级
tidy,a. 整洁的；整齐的,四级
enthusiasm,n. 热情；热心,四级
diminish,v. 减少；缩小,雅思
decent,a. 像样的；体面的,四级
approve,v. 赞成；同意；批准,四级
undergraduate,n. 大学肄业生,四级
deliberately,ad. 深思熟虑地；审慎地,六级
feeble,α. 脆弱的；虚弱的,六级
cope,vi. (with)（成功地）应付；处理,四级
slope,n. 斜坡；斜面,四级
dominate,v. 统治；占据,六级
select,v. 选择；挑选,雅思
virtually,ad. 事实上；实际地,六级
wagon,n. 四轮马车；铁路货车,四级
equipment,n.设备,雅思
conflict,v. 冲突；战争,六级
maintain,v. 维持；保持,雅思
agent,n. 代理人；代理商；动因；原因,四级
biology,n. 生物学,四级
conspicuous,α. 显而易见的；引人注目的,六级
transmit,v. 传播；播送；传递,四级
derive,v. 得来；得到,六级
facility,n. [pl.] 设备；设施；便利；方便,四级
indifference,n. 不关心；冷漠,六级
digest,n. 摘要；简编,六级
rough,α. 粗略的；不精确的,六级
derive,v. 得到；源自,雅思
fragile,adj.易碎的； 脆的,雅思
available,a. 现成可用的；可得到的,四级
overlap,v. 部分重叠,六级
feed,n.饲料； (动物或婴儿的)一餐 vt.喂养； 靠...为生,雅思
negative,n.否定； 负数 adj.否定的； 消极的； 负的 vt.否定； 拒绝(接受),雅思
forbid,vt. 不许；禁止,四级
expand,vt.详述； 扩大；展开,雅思
appoint,vt. 任命；委派,四级
vain,a. 徒劳的；无效的,四级
yawn,vi. 打哈欠,四级
offend,v. 冒犯；触犯,四级
adapt,vi. 适应；适合；改编；改写 vt. 使适应,四级
commence,v. 开始,六级
evoke,v. 引起；唤起,六级
substantial,a. 可观的；牢固的；实质的,四级
ruin,v. 毁坏；破坏 n. 毁灭；[pl.]废墟,四级
global,a. 全球的；总的,四级
comparable,a. (with to) 可比较的；类似的,四级
capable,adj. 有能力的；能干的,雅思
coach,n. 教练；长途公共汽车,四级
spreadsheet,n.电子制表软件,雅思
advantage,n.优势； 利益,雅思
analogy,n. 相似；模拟；类比,六级
acknowledge,v. 承认；致谢,四级
estimate,n. 估计,六级
appreciate,vt. 重视；赏识；欣赏,四级
lava,n.熔岩； 火山岩,雅思
personality,n. 人格；人性,六级
shrink,vi. 起皱；收缩；退缩,四级
bargain,n. 便宜货 vi. 讨价还价,四级
neglect,v. 忽视,六级
expel,v. 驱逐；开除；赶出,四级
triumphantly,ad. (欣喜)胜利地；成功地,六级
transition,n. 过渡；转变,六级
portion,n. 一部分,四级
deviate,v. (使)背离；(使)偏离,六级
fundamental,adj.基础的 n.基本原则； 基本原理,雅思
pension,n. 养老金,六级
turbulent,α. 动荡的；混乱的,六级
abundant,a. 丰富的；充裕的；大量的,四级
comparative,a. 比较的；相对的,四级
feedback,n. 反馈,雅思
literal,α. 文字的；字面的；逐字逐句的,六级
slope,n. 斜坡；斜面,四级
community,n. 社区；社会,四级
larvae,n. larva的复数,雅思
burst,vi.n. 突然发生；爆裂,四级
resume,v. 重新开始；继续,六级
permeate,v. 渗入；渗透,六级
competitive,α.竞争性的；具有竞争力的,六级
gaze,v. 凝视；注视,六级
tolerance,n. 容忍；忍耐力,六级
wander,vi. 漫游；闲逛,四级
feeble,α. 脆弱的；虚弱的,六级
focus,v. （使）聚集 n. 焦点；中心；聚焦,四级
identify,vt. 认出；鉴定,四级
humble,a. 谦逊的；谦虚的,四级
bewilder,v. 迷惑；弄糊涂,六级
explosion,n. 爆炸；爆发；激增,四级
sensitive,α. 敏感的,六级
suspicious,a. 怀疑的；可疑的,四级
scan,vt. 细看；扫描；浏览,四级
manifestation,n. 表现(形式),六级
electron,n.电子,雅思
explore,v. 探索；调查,雅思
trivial,α. 琐碎的；不重要的,六级
prescribe,v. 处方；开药,六级
obscure,α. 模糊不清的,六级
fundamental,adj.基础的 n.基本原则； 基本原理,雅思
comply,v. 遵守,六级
illusion,n. 错觉,四级
slope,n. 斜坡；斜面,四级
adequate,a. 适当地；足够,四级
explicitly,ad. 明确地,六级
obligation,n (法律上或道义上的)责任,六级
supervise,v. 监督；管理,雅思
found,v.建立,雅思
sorrow,n. 悲哀；悲痛,四级
treaty,n. 条约；协定,四级
expand,v. 扩大；扩张；展开；膨胀,四级
enhance,v. 提高；增加,六级
fuse,n. 保险丝,六级
massive,α. 大规模的；大量的,六级
appreciate,vt. 重视；赏识；欣赏,四级
large/small-scale,大/小规模,雅思
rescue,v. 营救；救援,六级
pattern,n. 模式,六级
capability,n. 能力；才能,六级
forcibly,ad. 强行地；有力地,六级
evil,a. 邪恶的；坏的,四级
geology,n. 地质学,四级
waist,n. 腰；腰部,四级
cooperate,v. 合作；协作,雅思
legislation,n. 立法；法律,六级
severe,a. 严重的,四级
decorate,vt. 装饰；装璜,四级
simplicity,n. 简单；朴素,四级
benefit,n. 益处；好处,雅思
tide,n. 潮汐；潮流,四级
damage,n. 损坏,六级
interfere,v. 妨碍；干涉,雅思
underlying,α. 潜在的,六级
illusion,n. 错觉；假象,六级
base,v. 建立在……的基础上,六级
benefit,n. 益处；好处,雅思
invade,v. 侵入；侵略；侵袭,四级
cling,v. 坚守；抱紧,六级
beforehand,ad. 预先；事先,四级
subtle,α. 微妙的；精巧的；细微的,六级
adjust,v. 调整；调节,四级
arithmetic,n. 算术,四级
optional,a. 可以任选的；非强制的,四级
profound,α. 深刻的；深远的,六级
resume,v. （中断后）重新开始,四级
competition,n. 竞争；比赛,四级
exclaim,v. 呼喊；欢呼,六级
route,n. 路；路线；航线,四级
approach,v. 靠近；接近; n. 途径；方式,四级
ambiguous,α.模棱两可的；模糊的,六级
formerly,ad. 原先地；以前；从前,六级
opportunity,n. 机会；时机,四级
incredible,α. 难以置信的,六级
tiny,adj.很少的； 微小的,雅思
average,α.一般的；普通的,六级
radical,a.根本的；激进的,四级
derive,v. 得来；得到,六级
anticipate,v. 预期,六级
anticipation,n. 预期；期望,六级
chronic,adj. 慢性的；长期的,雅思
immerse,v. 使浸没,六级
distress,n. 痛苦；悲伤; vt. 使痛苦,四级
threshold,n. 开端；入口,六级
persuade,v. 说服；劝服,雅思
evoke,v. 引起；唤起,六级
startlingly,ad. 惊人地,六级
shift,n.改变；轮班 vt.改变； 变速,雅思
expansive,adj.易扩大的；豪爽的,雅思
enhance,v. 提高,六级
vacuum,n. 真空；真空吸尘器,四级
tense,a. 紧张的; v. 拉紧; n. 时态,四级
issue,n. 问题；争论点；发行；（报刊）一期,四级
episode,n. 插曲；片段,四级
fate,n. 命运,四级
average,α.一般的；普通的,六级
legislation,n. 立法；法律,六级
rely,v. 依赖；依靠,雅思
inadequate,α. 不充分的；不适当的,六级
energetic,α. 精力充沛的,六级
unique,a. 唯一的；独特的,四级
expenditure,n. 开支,六级
insurance,n. 保险；保险费,四级
disguise,v. 假扮；伪装,六级
brief,adj. 简短的；简洁的,雅思
essence,n. 本质,六级
sophisticated,a. 老于世故的；老练的；很复杂的,四级
increasingly,ad. 日益；越来越多地,六级
expensive,a. 花钱多的；价格高贵的,四级
moral,a. 道德上的；有道德的,四级
venture,n. 风险投资；风险项目; v. 冒险；取于,四级
descend,v. 下落,六级
opponent,n. 敌手；对手,四级
ignite,v. 引燃,六级
threshold,n. 开端；入口,六级
aware,a. 意识到,四级
substantial,a. 可观的；牢固的；实质的,四级
brief,adj. 简短的；简洁的,雅思
worth,α. 值得,六级
foundation,n.基础； 建立； 基金,雅思
induce,v. 劝诱；诱导,六级
deny,v. 否认,六级
attract,v. 吸引；引起,雅思
remarkable,a. 值得注意的；异常的；非凡的,四级
stable,a. 稳定的,四级
authorize,v. 授权；批准,雅思
conform,v. 遵守；符合,雅思
religious,a. 宗教的,四级
pastime,n. 消遣；娱乐,六级
rely,v. 依赖；依靠,雅思
